"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2022/10/24","ウジエスーパー小田原店","-1055","JCBカード","食費","食料品","","0","8dve9MeaBS-5S_GSWYu3iw"
"1","2022/10/23","物販","-32","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","Tfrg_MnNFJZYWJUDzTjkug"
"1","2022/10/23","物販","-239","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","nSC0SFsrERNAkC0-jtqu4w"
"1","2022/10/23","ASHBERRY (アッシュベリー) 形態安定Yシャツ・男子長袖スクールシャツ/カッターシャツ/Yシャツ/ 120cm(11400) 販売: ASHBERRY☆アッシュベリー(子供服)","-1590","Amazon.co.jp","日用品","子育て用品","","0","jOCxkBYe1vpz8K3nBrHP9g"
"1","2022/10/23","ボーイズ シャツ オックスフォード 長袖シャツ 男の子 キッズ 子供服 無地 黒 白 ワイシャツ フォーマル ボタンシャツ 春夏秋冬 カジュアル 入学式 卒業式 発表会 120cm~160cm (120, ホワイト) 販売: Sura Don","-1980","Amazon.co.jp","日用品","子育て用品","","0","NLyoq7ojDHbTBQGCrVItEg"
"1","2022/10/23","ピジョン 食事用 おでかけエプロン ディズニーベビー 10枚入 (364円 * 2点) 販売: アマゾンジャパン合同会社","-728","Amazon.co.jp","日用品","日用品","","0","HRA7gVvSnxyaI-z_tYs1jw"
"1","2022/10/23","出光興産SS","-2376","JCBカード","自動車","ガソリン","","0","jWWq9jQSDXjS89cnUpRzvw"
"0","2022/10/23","Amazon Market Place","-3570","JCBカード","未分類","未分類","","1","GRckFOIbxw_d4LwxE2ZbtQ"
"0","2022/10/23","AMAZON.CO.JP","-728","JCBカード","教養・教育","書籍","","1","tzfYPSwv_1KGvxYaudsMzA"
"1","2022/10/23","ローソン センダイオダワラ3チヨウメ","-236","JCBカード","食費","食料品","","0","ynY9N7_98lRNkGEKMEEAyQ"
"1","2022/10/22","物販","-1045","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","YxS3SwW25EL9Rr6OYIJyug"
"1","2022/10/22","仙台卸町 支払","-955","WAON","食費","食費","","0","NrwH19lu9imcTB2MgiY7UA"
"1","2022/10/22","仙台卸町 支払","-1150","WAON","食費","食費","","0","hiE-jxJJRSvaxq2XflK7mw"
"1","2022/10/22","セブン-イレブン北上国見橋店","-357","JCBカード","食費","食料品","","0","alGQeK-GVwFeupvW3jazWA"
