"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2022/11/24","ユニクロ・GU・PLSTオンライン","-14040","JCBカード","衣服・美容","衣服","","0","MPM5xHBdeOg6v3kL6VK-_g"
"1","2022/11/24","ローソン センダイイリヨウセンター","-2181","JCBカード","食費","食料品","","0","CyUzu6WHqYyNSt2FEy12og"
"1","2022/11/24","povoご利用料金","-330","JCBカード","通信費","携帯電話","","0","LCOYG5pJGKv26IM4JFuacA"
"1","2022/11/24","幸楽苑 鶴ケ谷店","-1740","JCBカード","食費","外食","","0","8XNkg0_MgJc7RueI8KSgzA"
"1","2022/11/24","ローソン センダイイリヨウセンター","-365","JCBカード","食費","食料品","","0","LVcR8vHvHT6jRgoTUpS1-g"
"1","2022/11/23","倉敷国際ホテル[じゃらん]","-5400","JCBカード","趣味・娯楽","旅行","","0","bs1u8JSFrFFhvhKJGvo_vQ"
"1","2022/11/23","ウジエスーパー小田原店","-2392","JCBカード","食費","食料品","","0","F8w0H-WUTydIxnSOXSaJeg"
"1","2022/11/23","セブン-イレブン仙台鉄砲町店","-313","JCBカード","食費","食料品","","0","Qg1pv4E4U032tcgEN5X00Q"
"1","2022/11/22","物販","-117","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","naJbheWoFsEpk4PX9De4jA"
"1","2022/11/22","物販","-711","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","-qxWA78jQgIbLn5r4a_IiA"
"1","2022/11/22","仙台幸町 支払","-1524","WAON","食費","食料品","","0","m4A1B7U_IfubiCPdZSqNIg"
"1","2022/11/22","仙台卸町 支払","-3385","WAON","食費","食料品","","0","R6ddXRkwcjCNPRokWsbv6A"
"1","2022/11/22","セブン-イレブンさいたま大栄橋西店","-313","JCBカード","食費","食料品","","0","a88-HAkiIQLW_LXJi1Y0fw"
"1","2022/11/21","物販","-333","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","bD7ht78mkAinv3y_SDcG3A"
"1","2022/11/21","集電工学 販売: アマゾンジャパン合同会社","-3410","Amazon.co.jp","教養・教育","書籍","","0","KyLpE_pxe_WqXgdRZtxyuA"
"1","2022/11/21","ユニクロ・GU・PLSTオンライン","-5990","JCBカード","衣服・美容","衣服","","0","GpZbFO7sblKT5caa_OmuKg"
"0","2022/11/21","AMAZON.CO.JP","-3410","JCBカード","教養・教育","書籍","","1","i03tqTVXtKZsd5-omp_b1w"
"1","2022/11/21","セブン-イレブン鉄道博物館前店","-453","JCBカード","食費","食料品","","0","RU-DFDGxVELld1DlJQPVNw"
"1","2022/11/20","利息","1","【ま】住信SBIネット銀行","収入","その他入金","","0","g1bE_ubnxSW71Lv7qg2g9A"
"1","2022/11/20","小久保工業所 上履き用 洗濯ネット ネットに入れてらくらく洗濯 上履き洗ってネット 約265×175×4mm (吊干ループ付) すすぎや脱水にも KL-037 販売: アマゾンジャパン合同会社","-446","Amazon.co.jp","日用品","日用品","","0","uMZrNp5hn-TLQ-UUTY2rvQ"
"1","2022/11/20","【ライオン】トップ プレケア ドロ用 220ml ライオン株式会社 販売: ビッグワン 大阪本店","-871","Amazon.co.jp","日用品","日用品","","0","WhEOX1ZMncEnEhwBpNduzQ"
"1","2022/11/20","定期振替","100140","【け】みずほ銀行","未分類","未分類","","0","jmYcKciUyDz9b8vCkzP6vg"
"0","2022/11/20","Amazon Market Place","-1317","JCBカード","未分類","未分類","","1","2Q3fQ0JMZKRFuHywgYhfBA"
"1","2022/11/20","セブン-イレブン鉄道博物館前店","-621","JCBカード","食費","食料品","","0","T8Qgu_53Ou9NQPawK9AYPQ"
"1","2022/11/20","利息","2","【け】住信SBIネット銀行","収入","その他入金","","0","ghgsgOe5HKrLKRusdHrGag"
"1","2022/11/19","仙台卸町 支払","-1590","WAON","食費","食料品","","0","XBO0YemFL2RNOoq6zze4CQ"
"1","2022/11/19","仙台卸町 支払","-391","WAON","食費","食料品","","0","9DD2xwRKQpjl07NIPRYvCA"
"0","2022/11/19","WAONアプリ チャージ クレジット","10000","WAON","未分類","未分類","","1","6cy5Q_jsTou8WtxwYqzcBQ"
"1","2022/11/19","仙台卸町 支払","-1494","WAON","食費","食料品","","0","-whm7Lwm2AqN4qm0D6_uHQ"
"1","2022/11/19","コスモ石油","-2172","JCBカード","自動車","ガソリン","","0","7TJEJRpVr_fXGcbYGX2i0g"
"0","2022/11/19","WAONチャージ","-10000","JCBカード","現金・カード","電子マネー","","1","BtTdA_McdEe-Hd_UsXY_jw"
"1","2022/11/18","物販","-570","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","9ZF48IepkBkQm8LtFNH-sw"
"1","2022/11/18","新利府 支払","-3883","WAON","食費","食料品","","0","cFW3qT3QBEB_WFPnJAa1JA"
"1","2022/11/18","イオンモール新利府 南館 支払","-883","WAON","日用品","日用品","","0","fCcJwstJcFT9w_ygaJHlXw"
"1","2022/11/18","[nissen(ニッセン)] カーディガン ニット スクール 学生 男の子 女の子 キッズ チャコールグレー 120 販売: nissen(ニッセン)","-2519","Amazon.co.jp","衣服・美容","衣服","","0","fIPCJw4Iuhc0sKWnntw8IQ"
"1","2022/11/18","ポイント","1057","Amazon.co.jp","未分類","未分類","","0","erm-A17Xe1T5nhviK8TBpw"
"1","2022/11/18","GIVE & TAKE「与える人」こそ成功する時代 三笠書房 電子書籍[Kindle 版] アダム・グラント, 楠木 建 販売: Amazon Services International LLC","-1881","Amazon.co.jp","教養・教育","書籍","","0","1zFzF3Xbkra-zWOBpP99fg"
"1","2022/11/18","ブラッククローバー 33 (ジャンプコミックスDIGITAL)[Kindle 版] 田畠裕基 販売: 株式会社集英社","-502","Amazon.co.jp","趣味・娯楽","本","","0","XFU4JPyV8dir23hG-mGegg"
"1","2022/11/18","オリエント(17) (週刊少年マガジンコミックス)[Kindle 版] 大高忍 販売: 株式会社 講談社","-495","Amazon.co.jp","趣味・娯楽","本","","0","ESOV5bC13QCb5q48pGL7PA"
"1","2022/11/18","ユニクロ","-2170","JCBカード","衣服・美容","衣服","","0","_6mHVhb-MM387_Tz6q1rqw"
"0","2022/11/18","AMAZON DOWNLOADS WWW.AMAZON.CO","-495","JCBカード","教養・教育","書籍","","1","tau7qYXXw1ZmQp1sYwq9Tw"
"0","2022/11/18","AMAZON DOWNLOADS WWW.AMAZON.CO","-502","JCBカード","教養・教育","書籍","","1","DIccHCTSa40jCtQBSM7H4Q"
"0","2022/11/18","AMAZON DOWNLOADS WWW.AMAZON.CO","-824","JCBカード","教養・教育","書籍","","1","tCV_IGiu4yQEz0iF0TA3mQ"
"0","2022/11/18","Amazon Market Place","-2519","JCBカード","未分類","未分類","","1","iP0Zj_1hmoxwc4HqwqmGGQ"
"1","2022/11/18","セブン-イレブンさいたま大栄橋西店","-462","JCBカード","食費","食料品","","0","Pm34Hkb0rDr_TF2l7HKRUQ"
"1","2022/11/18","庄や日進南口店","-8760","JCBカード","食費","外食","","0","GKzCpxYAh4sdnHMSMOO_lA"
"1","2022/11/17","ダイソー","-440","JCBカード","日用品","日用品","","0","uuBlkPZTA8owSk1CO3C8ZQ"
"1","2022/11/17","セブン-イレブンさいたま大栄橋西店","-440","JCBカード","食費","食料品","","0","ZoR0bLwnZcf0QC-yoA8j5w"
"1","2022/11/16","物販","-393","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","gV_bBqXBYvU-8u0R4XsWIw"
"1","2022/11/16","ポイント","1202","Amazon.co.jp","未分類","未分類","","0","jJ36ZwhcUDML0llM94Ot7A"
"1","2022/11/16","日経キーワード 2022-2023[Kindle 版]","-1202","Amazon.co.jp","教養・教育","書籍","","0","HHvOuu90wlggc5xN48ICLg"
"1","2022/11/16","povoご利用料金","-990","JCBカード","通信費","携帯電話","","0","TLrEtegk5sfexZ2BvfuAxA"
"1","2022/11/15","物販","-414","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","Ftgn15rOiBx8mm0ldycJOQ"
"1","2022/11/15","物販","-800","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","unP0nqLeaZrHcj5OoP9n8A"
