"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/05/24","SOWAN クーポン利用(LINE@友達登録★20%OFFクーポン 【コラボ品は対象外】)","572","楽天市場(my Rakuten)","未分類","未分類","","0","F3Mr0ALR7dC56z3UyTgsIw"
"1","2023/05/24","SOWAN ポイント利用","2288","楽天市場(my Rakuten)","未分類","未分類","","0","sSA1Oe06S7U4-JesXG5sTA"
"1","2023/05/24","SOWAN kaihou(カイホウ) オーガニックコットン メロー ショーツ ナイトショーツ リラックスショーツ フェムテック ふんどしパンツ 女性用 レディース ふんどしショーツ 鼠径部 締め付けない 綿100% コットン 女性 下着 かわいい 深履き 日本製 無地 マタニティ","-1650","楽天市場(my Rakuten)","衣服・美容","衣服","","0","iFHP1QbnMXZhE8A2TFKykQ"
"1","2023/05/24","SOWAN 夏でも履ける 薄手の デニム ベビー レギンス 綿 70 80 90 日本製 夏用 春夏 ストレッチパンツ レギパン スパッツ シンプル 長ズボン キッズ 赤ちゃん 保育園 幼稚園 入園 服 女の子 男の子 ゆったり おすすめ 履きやすい","-1210","楽天市場(my Rakuten)","日用品","子育て用品","","0","Dgi4atdk0cbaH8fg1t6i_Q"
"1","2023/05/24","ショップトレード ポイント利用","3870","楽天市場(my Rakuten)","未分類","未分類","","0","W4bDtI1W_S6xg6p4gGcAig"
"1","2023/05/24","ショップトレード 【送料無料】アズマ TSM545 トルネード丸型 モップ セット","-3870","楽天市場(my Rakuten)","日用品","日用品","","0","DmCbJ3JRFUwdTFcm-_QrtA"
"1","2023/05/23","物販","-484","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","Z0_YYLFl26rR_gEV6Ra34w"
"1","2023/05/23","CHATGPT SUBSCRIPTION 4158799686","-2849","JCBカード","通信費","情報サービス","","0","HYYWtNdYHejNeluS-_BXpg"
"1","2023/05/23","ウジエスーパー小田原店","-1005","JCBカード","食費","食料品","","0","n7bigFWeOcD0gBJuo7_FsQ"
"1","2023/05/22","Amazonギフト券・Amazonショッピングカードの金額","50","Amazon.co.jp","収入","一時所得","","0","4lXZr9QJKgU33w0QWA5mWQ"
