"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/05/23","物販","-180","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","i_P0m97fu-jomrPwx31CVOfaOozz6-GuPfHsXAfEZiU"
"1","2024/05/23","物販","-600","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","cknFUzuvNhTaCpDrfQ1s9Y2jE0jGhX_k_uFbgTdQL4Q"
"1","2024/05/23","物販","-180","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","KLdHnqsskacPQl5A_mjpDAfMbUJjEtPzAeVLIjTYyDQ"
"1","2024/05/23","ホームセンターコーナンドイト朝霞店","-547","JCBカード","日用品","日用品","","0","HsvqR8mmoaRJIuRsWRuTJq4J3_UzPSyjwivIebu0znc"
"1","2024/05/23","ＡｍａｚｏｎＰａｙ提携サイト","-1944","JCBカード","日用品","日用品","","0","D_P2dJTILPZh5W_U2tvJC7UjPE8mEozm9cgnIceUnoQ"
"1","2024/05/23","フアミリ－マ－トアサカヒザオリイツチヨウ","-798","JCBカード","食費","外食","","0","NxqxahcQY0CfsKP7Moa3qSwB9weAxOz5euRMh_uZMw4"
"1","2024/05/22","アコレ","-1183","JCBカード","食費","食費","","0","VTxbxv2CExPXlE3hv1GSg9mkW0Yk4rv-Q5LDAkxzjnU"
"1","2024/05/22","タイムズ駐車場","-100","JCBカード","自動車","駐車場","","0","gK0U2DXsWLBKaejo490K-b3Ia1Telhm-3juJ-A4r4XE"
"1","2024/05/22","UDEMYEU","-1300","JCBカード","教養・教育","その他教養・教育","","0","T0AzQv_Wyc5OMvZ3JfWJDGWNSmckhh7l5PSXp9sor1w"
"1","2024/05/22","PTA会費","-1500","なし","特別な支出","学用品など","","0","OG0aiSOC67OnEJ1b-mt4ZCK5Wq3Iy17t-Nlu2ZsxADQ"
"1","2024/05/22","小児科　駐車場","-100","なし","自動車","駐車場","","0","g9JZAdhorNWFA2ytgW6I_AErRdCtkUZIjppSBO9hfpY"
"1","2024/05/21","セブンイレブン 朝霞駅南口店","-179","メルペイ（残高払い）","食費","食料品","","0","T4N4zfpFyv-u-t8PhRyJm2RtQjIXQAMwqr5ePLdOT6E"
"1","2024/05/21","物販","-100","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","p7JtUgHyFNHr1_IRAfZ86XultEvs61_V545PqWdgibU"
"1","2024/05/21","物販","-180","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","ZbbkBD-kt3X6RxFDuEbdGiqxmX4mwGSg2GFhprmxCl8"
"0","2024/05/21","カード モバイル","10000","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","1","A5VxyBsfERg9WZNkGoMfFYCSueLq1WmsVZPEhJ1kdz4"
"0","2024/05/21","ＪＲ東日本モバイルＳｕｉｃａ","-10000","JCBカード","交通費","電車","","1","CVPZEq0ZikGnvhDx4aL4ePR2FaGdb-43_rWVCiLC1Sc"
"1","2024/05/20","Amazonポイント","1518","Amazon.co.jp","収入","一時所得","","0","sHXdW2HIBvzJTZuH4AsrMLttGxv6ftQ7Ynk-W2tx_Us"
"1","2024/05/20","割引","80","Amazon.co.jp","収入","一時所得","","0","vxVwGJ6RgQO56xgk4ZCrppRHUQNZkKvtRyP4Iy1A_Bk"
"1","2024/05/20","アサヒ飲料 アサヒ 十六茶 ラベルレスボトル 2L×9本 [お茶] [ノンカフェイン] 販売: アマゾンジャパン合同会社","-1598","Amazon.co.jp","食費","食費","","0","Mmjs6oEmf1T7FqhU_9BGOQL_KiPzGIwtTjUr3gnkF70"
"1","2024/05/20","西友","-686","JCBカード","食費","食費","","0","EoVxl5PZ1M3JAIBWwbuDv-ArvRUDbtG09QqAx55xckM"
"1","2024/05/20","西友","-4635","JCBカード","食費","食費","","0","to1zgS-TcjpCBdc3Tj7pF7o4HreJBZFHpzIRAaCMSEA"
