"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/04/24","物販","-90","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","SnuglH6omFg1d-lDJ-pY_Q"
"1","2023/04/24","物販","-90","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","JuULjaW0bq1HvqSDBjVLBw"
"1","2023/04/24","楽天トラベル国内宿泊","6500","JCBカード","未分類","未分類","","0","OZVC3KOXkyYhz6yOmVUBGA"
"1","2023/04/24","楽天トラベル国内宿泊","-6500","JCBカード","趣味・娯楽","旅行","","0","4AWYXUcmTa-R_wu4ur7rbw"
"1","2023/04/24","コスモ石油","-1683","JCBカード","自動車","ガソリン","","0","PN063_aan0ZhBc4u1rfhHA"
"1","2023/04/24","中国料理口福吉祥?龍/PG","-6490","JCBカード","交際費","飲み会","","0","gwEuJ4QiCW254Hj-JzlTnA"
"1","2023/04/24","nanaco加盟店 支払","-3590","【ま】nanaco","食費","食料品","","0","2UFX7LVQZ_4vKL709yhB3Q"
"1","2023/04/24","ヨークベニマル
新田東 支払","-1164","【ま】nanaco","食費","食料品","","0","CiPz07byxZfltelWhL5oRw"
"1","2023/04/24","稲庭うどんの寛文五年堂 ポイント利用","1296","楽天市場(my Rakuten)","未分類","未分類","","0","F0Rz1G_3Dlq500MdbjDEWw"
"1","2023/04/24","稲庭うどんの寛文五年堂 ポイント10倍 うどん 稲庭うどん 訳あり 寛文五年堂 いなにわ手綯うどん・切れ端麺(400g袋/4人前)比内地鶏スパイシーカリーつゆ(45g×3袋)セット カレーうどん お試し 保存食 長期保存 自宅調理 訳あり 切り落とし かんざし 常温保存 おうち時間 [メール便配送]","-1296","楽天市場(my Rakuten)","食費","外食","","0","hTwoRlC-6IvX1gJJ8OWIdw"
"1","2023/04/24","おいもや ポイント利用","2960","楽天市場(my Rakuten)","未分類","未分類","","0","WjQAqehBh0dY-5ygXeHCWw"
"1","2023/04/24","おいもや \0時に値段あがります/ 母の日 早割 クーポン プレゼント 花 ギフト 動物 アニマル 犬 どら焼き プリザーブドフラワー アレンジメント バラ 薔薇 置物 インテリア 雑貨 グッズ 花とスイーツset 送料無料 スイーツ お菓子 和菓子 女性向けギフト セット おいもや","-2960","楽天市場(my Rakuten)","交際費","プレゼント代","","0","3irLtpU3akZ-nGB2I8DJMQ"
"1","2023/04/24","港ダイニングしおそう ポイント利用","1000","楽天市場(my Rakuten)","未分類","未分類","","0","KNlQ1NFAlCz0fCzXu4d4qQ"
"1","2023/04/24","港ダイニングしおそう エントリーP最大10倍 ミックスナッツ 500g 素焼き 無塩 4種類 アーモンド カシューナッツ クルミ マカダミアナッツ 食塩不使用 加工オイル不使用[送料無料][ゆうパケット] 母の日 プレゼント ギフト 母の日思いの 健康 実用的 父の日 子供 孫2023 花以外 母の日ギフト","-1000","楽天市場(my Rakuten)","交際費","プレゼント代","","0","1LfmMA8NqrI0-n2U8nNv2A"
"1","2023/04/24","楽天24 ドリンク館 ポイント利用","5040","楽天市場(my Rakuten)","未分類","未分類","","0","5EcYYiiG_kI5HgEhAARGTQ"
"1","2023/04/24","楽天24 ドリンク館 アサヒ スーパードライ 生ジョッキ缶(340ml*24本入)【アサヒ スーパードライ】","-5040","楽天市場(my Rakuten)","食費","食料品","","0","CScJ4o4PXBYhASgZBCapdw"
"1","2023/04/23","楽天キャッシュ チャージ","-50000","解約済_【け】楽天カード","現金・カード","電子マネー","","0","y8iNtutea-M_5fmibtlY6g"
"1","2023/04/23","楽天キャッシュ チャージ","-50000","解約済_【け】楽天カード","現金・カード","電子マネー","","0","EkCGKTS1lYP9YBX0BRyMHg"
"1","2023/04/23","ウジエスーパー小田原店","-2732","JCBカード","食費","食料品","","0","_cN-0VG4mQomPf4CrkO6cQ"
"1","2023/04/23","ウジエスーパー小田原店","-752","JCBカード","食費","食料品","","0","3o2dYLnBjTVr9MOg8rB8nQ"
"1","2023/04/23","ウジエスーパー小田原店","-953","JCBカード","食費","食料品","","0","jXL9IzTdz90absiqKHdMSw"
"1","2023/04/23","エディオン 楽天市場店 ポイント利用","4440","楽天市場(my Rakuten)","未分類","未分類","","0","ePOV_t1iPCPfSgyBk_a88g"
"1","2023/04/23","エディオン 楽天市場店 バンダイ アンパンマン フルーツ!おやさい!ぜーんぶミックス!アンパンマンおしゃべりミキサー APオシヤベリミキサ- [APオシヤベリミキサ-]","-4440","楽天市場(my Rakuten)","日用品","日用品","","0","REtWhyu2V8H7RfNsbGDhBQ"
"1","2023/04/22","イオンシネマ新利府","-2800","JCBカード","日用品","日用品","","0","DcmGW6aiY5Z49Pi1JWKgJA"
"1","2023/04/22","イオンシネマ新利府 支払","-1470","WAON","日用品","日用品","","0","5yTgcn5Kec4X5GdbM4D7NQ"
"1","2023/04/22","あきずむ楽天市場店 ポイント利用","8470","楽天市場(my Rakuten)","未分類","未分類","","0","LQ4PrRYG4RQrC5olCXQWZQ"
"1","2023/04/22","あきずむ楽天市場店 送料(税込)","-770","楽天市場(my Rakuten)","日用品","日用品","","0","9GAuUYHBNiWaCnB_2hC7-w"
"1","2023/04/22","あきずむ楽天市場店 【あす楽】☆【カード払のみ】 DXブーストマークIIレイズバックル&レーザーレイズライザーセット 【 仮面ライダーギーツ 】 バンダイ (なりきり)","-7700","楽天市場(my Rakuten)","日用品","日用品","","0","Sz8b_sVwpdZp5CFZPu1DDA"
"1","2023/04/22","","-1080","なし","健康・医療","薬","","0","gIz7XegIpBDswv93zF4sSQ"
"1","2023/04/22","","-3500","なし","健康・医療","医療費","","0","qVAMNinvUCWe4d9tpClVwQ"
