"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2022/09/21","カーサホテル新白河〔じゃらん","8700","JCBカード","未分類","未分類","","0","qnF69viilZUYlUj1VGJjXg"
"1","2022/09/21","マクドナルドイオン大宮店","-690","JCBカード","日用品","日用品","","0","1iR8d8vlOPEZ3OnXrxvUZw"
"1","2022/09/20","メンズビオレ ワン(ONE) オールインワン 全身洗浄料 髪・肌なめらかタイプ フローラルサボンの香り つめかえ用 340ml 《 髪 ・ 顔 ・ 体 全てを洗える メンズビオレ》 ボディソープ (475円 * 5点) 販売: アマゾンジャパン合同会社","-2375","Amazon.co.jp","日用品","日用品","","0","qpVfFZuJdKG2O_sEEb8pPg"
"1","2022/09/20","ポイント","356","Amazon.co.jp","未分類","未分類","","0","VyewdyR3drbzH81Sp5yuMA"
"1","2022/09/20","不滅のあなたへ(18) (週刊少年マガジンコミックス)[Kindle 版] 大今良時 販売: 株式会社 講談社","-495","Amazon.co.jp","趣味・娯楽","本","","0","2B7WDSBh60JWvrrY873dIw"
"1","2022/09/20","桂屋ファイングッズ株式会社","-1530","JCBカード","未分類","未分類","","0","yb-L2ZUFX613nAYp4RbOsQ"
"0","2022/09/20","AMAZON.CO.JP","-2375","JCBカード","教養・教育","書籍","","1","fHlECNjChXrBhFTRr3lqkg"
"1","2022/09/20","ヘルスケア コヤマ","-6180","JCBカード","日用品","日用品","","0","0RXWne9sc5Ebu8Syv9K24g"
"1","2022/09/19","物販","-90","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","0","sZ0E0kNB5bIE8NlIakGtog"
"1","2022/09/19","物販","-90","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","0","tHDjvQ-eFjOBf3LOTBFN8Q"
"1","2022/09/19","メンズビオレ ワン(ONE) オールインワン 全身洗浄料 髪・肌なめらかタイプ フローラルサボンの香り つめかえ用 340ml 《 髪 ・ 顔 ・ 体 全てを洗える メンズビオレ》 ボディソープ (475円 * 2点) 販売: アマゾンジャパン合同会社","-950","Amazon.co.jp","日用品","日用品","","0","iz2Zom8tA9CMLEDqrafJIw"
"1","2022/09/19","ウジエスーパー小田原店","-4957","JCBカード","食費","食料品","","0","tEtoEdFOjS5u0-qBIN-2Gw"
"0","2022/09/19","AMAZON DOWNLOADS WWW.AMAZON.CO","-139","JCBカード","教養・教育","書籍","","1","BsLgRf_wD8DvQTQPOs0Y7Q"
"0","2022/09/19","AMAZON.CO.JP","-950","JCBカード","教養・教育","書籍","","1","-CQ6FK9AYkjxcnUL2PmMnQ"
"1","2022/09/19","ローソン サイタマヒガシオオナリチヨウ","-648","JCBカード","食費","食料品","","0","LNrd0lsK2yIewx7s5OVqBA"
"1","2022/09/18","利息","1","【ま】住信SBIネット銀行","収入","その他入金","","0","SkCh3VCfALRJR6w3xpPwXA"
"1","2022/09/18","利息","2","【け】住信SBIネット銀行","収入","その他入金","","0","mD9AjRAKvGnaDyvGQLPF-w"
"1","2022/09/17","ぺんてる シャープペン グラフ1000 フォープロ PG1005 0.5mm 販売: アマゾンジャパン合同会社","-618","Amazon.co.jp","日用品","日用品","","0","6hIrOfDfnOCiRe13LHKQAg"
"1","2022/09/17","[Amazon限定ブランド] Restock サントリー 天然水 ラベルレス 2L ×9本 販売: アマゾンジャパン合同会社","-1198","Amazon.co.jp","食費","食料品","","0","ekTpsRSVm5vhz6_YKsZs0g"
"1","2022/09/17","マルマン スケッチブック クロッキーダイアリー SQサイズ CD50 販売: アマゾンジャパン合同会社","-445","Amazon.co.jp","日用品","日用品","","0","ZkkPbiLfA-tStADstvjPag"
"0","2022/09/17","AMAZON.CO.JP","-445","JCBカード","教養・教育","書籍","","1","tlTml6osrGH_oRGKlUsZSA"
"0","2022/09/17","AMAZON.CO.JP","-618","JCBカード","教養・教育","書籍","","1","M6uHCBTXLFdaUhTJOgKQoQ"
"1","2022/09/17","ウジエスーパー小田原店","-2088","JCBカード","食費","食料品","","0","vTL_GkG9tZSeFrL1ZUpS1Q"
"0","2022/09/17","AMAZON.CO.JP","-1198","JCBカード","教養・教育","書籍","","1","Br4UzzUof9Yux6_XU2lbEQ"
"1","2022/09/17","セブン-イレブン鉄道博物館前店","-1520","JCBカード","食費","食料品","","0","OR_Zko5uupXCMPje5pvPUA"
"1","2022/09/16","物販","-472","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","0","QYxjw1niROvYk5MtltiBeA"
"1","2022/09/16","物販","-120","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","0","n8PjeSgPGH5LRtzh-F1g3w"
"1","2022/09/16","セブン-イレブン鉄道博物館前店","-429","JCBカード","食費","食料品","","0","8Jzcxj1kdsJHClkppTz3Vw"
"1","2022/09/16","CoCo壱番屋 JR大宮駅西口店","-1360","JCBカード","食費","食費","","0","nbxG7XaFk3mB0hJTEhunVA"
