"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/06/24","ミニストッププレナ幕張店","-468","メルペイ（残高払い）","食費","コンビニ","","0","DTgISTjKmpIZKlhLUScGWGpKjvF_zh715_CakW96YYQ"
"1","2025/06/24","スパゲッティーのパンチョ プレナ幕張店","-980","メルペイ（残高払い）","食費","外食","","0","44RkU-KbXxYZvtc4uSUMUxZItom5by0QTTqUolmA05s"
"1","2025/06/24","CURSOR, AI POWERED IDE 8314259504","-2948","JCBカード","その他","事業経費","","0","ehRgrp--mbbfRiCDgbr0agEtxiVyUEyZwI2LOyfhs3c"
"1","2025/06/24","OPENAI *CHATGPT SUBSCR 4158799686","-3243","JCBカード","住宅","サブスク","","0","hvIVrfj19jTKmnKJrIQIGdC6lsTlMY1a7kUgW7mZMac"
"1","2025/06/24","イトーヨーカドー　朝霞店","-382","JCBカード","食費","スーパー","","0","-_TTB-0IvJjQWNjkcRYhYgDLRfS6nNx-wuDY9iFznpk"
"1","2025/06/24","パルシステム埼玉　〔宅配利用代金〕","-24859","JCBカード","食費","パルシステム","","0","JPDPnHnF7PWGFFeIHAfuwQSTkTReKFXpMgVwTVsv5K0"
"1","2025/06/24","りお　名札","-150","なし","日用品","日用品","","0","DuJJKKFHf-vas_QO2ii91tQywe7TExttJOL7FsHTOn4"
"1","2025/06/24","りお　きりん組","-700","なし","日用品","日用品","","0","bne_iGrM-9cxsaDn9ZCNMU8beD3UnTtwevAp26lpu6g"
"0","2025/06/23","ATM セブン銀行","-19000","【け】住信SBIネット銀行","現金・カード","ATM引き出し","","1","cYVIgahaKnUutPG0Br-xWqrFtoYrSuGtLL0A-Ag1xW4"
"1","2025/06/23","わくわくドーム","-400","なし","日用品","日用品","","0","jujuyMRJE4Qsm-J3XHCT9bRVf-U_bi-tx913KTi6dJQ"
"1","2025/06/23","トランパラン 日本製 ガーゼタオル フェイスタオル 1枚 パレットガーゼタオル 泉州タオル 速乾 薄手 吸水 軽量 綿100% (シー) 販売: トランパラン","-550","Amazon.co.jp","日用品","Amazon","","0","uEIox7HSIqJdgiXbsTMh99fsuchuduBhUvLQCAIJZfU"
"1","2025/06/23","トランパラン 日本製 ガーゼタオル フェイスタオル 1枚 パレットガーゼタオル 泉州タオル 速乾 薄手 吸水 軽量 綿100% (ファーム) 販売: トランパラン","-550","Amazon.co.jp","日用品","Amazon","","0","Z5camdhEyHpTduZfLy0nDGEe5b_bT0d2z85rIYX5QWg"
"1","2025/06/23","ヤマト運輸株式会社","-1688","JCBカード","日用品","日用品","","0","EoKhzVNZBn8COd9DKZedOcIQBwrnb5w9ifMhTCHeU5s"
"0","2025/06/23","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","-1100","JCBカード","日用品","Amazon","","1","uECC8VkVPVGKJbbZkfTAWOFZOlKdAU9mGh1Wj8FShHM"
"0","2025/06/23","振替 SBI証券","1772","【け】住信SBIネット銀行","未分類","未分類","","1","Y9RcHH2EPpmJQTp1jmAhYZIS2q9YRFNZfJT1KajHbOY"
