"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2025/02/24","ユニクロ","-8960","JCBカード","日用品","衣類","","0","RaFURsc0fubK_Xrrrh-EF-zzw4Xmxv0no9UMAJEk5ng"
"1","2025/02/24","西友","-1843","JCBカード","食費","スーパー","","0","619Y8OhR-6x1nRFA5qG4jQcwREJ9oSsen8iSoO10cq4"
"1","2025/02/23","Amazon.co.jp 限定 お名入れ付☆ダース箱 三菱鉛筆6角 4B hahatoco ハハトコ 木軸 青(宇宙&海)K56224B 販売: ブックランド宇和島☆一つ一つ丁寧に出荷しています!!","-999","Amazon.co.jp","日用品","Amazon","","0","VfSlvVjVbV1LQOgsL0w_rsrwigTjku0CZ_aOCTyYlAc"
"1","2025/02/23","旭化成 ジップロックスクリューロック トイ・ストーリー 300&730ml 販売: 近江ストア 三宝吉","-1000","Amazon.co.jp","日用品","Amazon","","0","XdvyzCADVbUgY2mi-46BhprOBAGTCyDZXP7SWVh1mXw"
"1","2025/02/23","ヤオコー新座店","-2040","JCBカード","食費","スーパー","","0","iUKiHeg7SvwyR9ClZ7lItyqvJMSf0uJlf6FEgIcDHKA"
"1","2025/02/23","OPENAI *CHATGPT SUBSCR 4158799686","-3355","JCBカード","住宅","サブスク","","0","VpebDYGEGj6kNN8xHTFlwSiHAAbZ6Ru961b5ntcQCMU"
"0","2025/02/23","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","-999","JCBカード","日用品","Amazon","","1","teOVwp0eI7X_juaCJOPTRGu7THxXau3RbcnK4F452Dw"
"0","2025/02/23","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","-1000","JCBカード","日用品","Amazon","","1","THqHdRDiKU_JfGz2fdvjv2De15E7YBgxpaCyw9OZVRw"
"1","2025/02/22","ｈｏｔｔｏｍｏｔｔｏ","-2330","JCBカード","食費","外食","","0","O8ry9b9Iowb0i2cWzkvEITy2Ae2LZz2NJFz0aC_Euok"
"0","2025/02/22","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-212","JCBカード","日用品","Amazon","","1","Bh_iHDbVj4Ih8mxhpSTh05uvDbeT_FnMyR1ZSeFO6gk"
"0","2025/02/22","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-777","JCBカード","日用品","Amazon","","1","wSH4_5YlZ4N5ILTfGz-TbyMaTIqLq7UyyhtuJDRrtCQ"
"0","2025/02/22","ＡＭＡＺＯＮ．ＣＯ．ＪＰ","-836","JCBカード","日用品","Amazon","","1","rVL0aJY5z2v_S0o_d-TZ-ndZrnv2dAg9bCUdeI6j7xc"
