"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/01/24","物販","-330","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","zPQXnlDrLvFSTA-IesbUaw"
"1","2023/01/24","ダイシン 幸町店","-2374","JCBカード","食費","外食","","0","ufu5Ko3PcL9sOfpz8OFcbg"
"1","2023/01/24","ウジエスーパー小田原店","-1853","JCBカード","食費","食料品","","0","OKW-QBA1Jd3BkZz0i9PJAw"
"1","2023/01/24","セブン-イレブン鉄道博物館前店","-449","JCBカード","食費","食料品","","0","k2dUY3pxsY1ETYzeDDNffg"
"1","2023/01/23","Nintendo Switch 有機EL SD256GB ケース フィルム付","34500","メルペイ（残高払い）","未分類","未分類","","0","8MkLi81_xtdu7SZgQ3FnqRC6p1nKeY5yp2zCqZ4r5Q4"
"1","2023/01/23","物販","-333","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","jX3RvMhgzZ_1Rxuwx5q-Lg"
"0","2023/01/23","AMAZON.CO.JP","-1800","JCBカード","教養・教育","書籍","","1","YmFXeyEXk1dQ4eVIEDYTGA"
"1","2023/01/23","セブン-イレブン鉄道博物館前店","-192","JCBカード","食費","食料品","","0","vRfL3CZgTqSC-TBKmEpAqg"
"1","2023/01/23","エレコム AirPods Pro 2 第2世代 2022年 用 ケース シリコン カラビナ付き コネクターキャップ一体型 magsafe充電 ワイヤレス充電 対応 [やわらか素材でしっかり守る] ピンク AVA-AP4SCPN 販売: アマゾンジャパン合同会社","-1800","Amazon.co.jp","日用品","日用品","","0","NUh2Tbgm3a07_xqnG55kZQ"
"1","2023/01/22","カインズ仙台泉店","-198","メルペイ（残高払い）","日用品","日用品","","0","OnWXZnW52o5lPyC1sPd_12zM9BcpEIzi6JRswt_Cirs"
"1","2023/01/22","カインズ仙台泉店","-4426","メルペイ（残高払い）","日用品","日用品","","0","-29JquiaSqeaKbn2pqFGbSoC1F2TUofbQcXiQ-h9-Ns"
"1","2023/01/22","利息","1","【ま】住信SBIネット銀行","収入","その他入金","","0","9ZE-1cqy81PNfn2szp5fng"
"1","2023/01/22","物販","-90","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","W351NcP6VZEN-bnm1hRV-g"
"1","2023/01/22","利息","3","【け】住信SBIネット銀行","収入","その他入金","","0","nKsB-yv4DylrYpxJ96Ghog"
"1","2023/01/22","マクドナルドモバイルオ-ダ-","-1900","JCBカード","食費","外食","","0","y9L8KkRMjMgGquDwgxDuZQ"
"1","2023/01/21","バス等 東武CE","-326","【け】モバイルSuica (My JR-EAST ID)","交通費","バス","","0","9BVBVwy2n3rzwfkMpeEIkw"
"1","2023/01/21","バス等 東武CE","-326","【け】モバイルSuica (My JR-EAST ID)","交通費","バス","","0","DQaMogag_Lowdgd6dTdqhg"
"1","2023/01/21","物販","-1660","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","jvtYhyK7SAQ8AkZk-5wM_g"
"1","2023/01/21","物販","-120","【け】モバイルSuica (My JR-EAST ID)","食費","食料品","","0","8hudFvgqirgkK18MMVozlg"
"1","2023/01/21","APPLE.COM/BILL","-3000","JCBカード","通信費","その他通信費","","0","kBafTlg59RzL-vrRLvsxyg"
