"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2024/02/21","セブンイレブン さいたま大栄橋西店","-1289","メルペイ（残高払い）","食費","食料品","","0","od4XIJwVQ3WZgkYrPfQsnLUO6Fk4yMGCBovjnUfNSXg"
"1","2024/02/21","物販","-180","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","f8ypc9oxpXS7NyhIxxUUhEF2xn1eZf9oOzObSEkA1S8"
"1","2024/02/21","物販","-550","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","-3_3LKtquTYSA9eY8wF7349T2f3r1txLMKx9qVTI9J8"
"1","2024/02/21","物販","-180","【け】モバイルSuica (My JR-EAST ID)","食費","食費","","0","vSLCl7Iq50pxCzoIV2UTUoD9oavkOiNsV5o5C_Cvfos"
"1","2024/02/21","折りたたみ椅子 折り畳み椅子 椅子 折りたたみ コンパクト 軽量 持ち運び 室内 簡易椅子 一秒開閉できる 伸縮式アウトドアチェア アウトドア 持ち運び 旅行キャンプ椅子 防水 耐荷重 180kg アウトドア キャンプ チェア 携帯 スツール 低い 風呂/釣り/フェス/運動会/観戦/屋内/屋外用 日本語取扱説明書付き Black 販売: Txfuons【メーカー直営店・1年保証付き】","-2193","Amazon.co.jp","住宅","住宅","","0","w3ko6GQ_oWaDhQ_IZru1tPvV0l0PUZcObTF4-EAwhW0"
"1","2024/02/21","ポイント","110","Amazon.co.jp","収入","一時所得","","0","r5vE5TR3shjZdj73O4I49fYA7Im7a3LzExLgzmIrRVI"
"1","2024/02/21","金色のガッシュ!! 2【単話版】 Page 19[Kindle 版] 雷句誠 販売: Amazon Services International LLC","-110","Amazon.co.jp","教養・教育","書籍","","0","1wMBw9x6ICgyhB7K6_AMMckWfzhkJKHe7_kZQl8uk_g"
"1","2024/02/21","ポイント","660","Amazon.co.jp","収入","一時所得","","0","oLPsTyFnWtTe205VKbwsn6bqXdpt10ASYQ5nwyk_TuU"
"1","2024/02/21","ゆうべはお楽しみでしたね 10巻 (デジタル版ヤングガンガンコミックス)[Kindle 版] 金田一蓮十郎 販売: 株式会社スクウェア・エニックス","-660","Amazon.co.jp","教養・教育","書籍","","0","aJ4G4jgFXn7gMg7LYg5f39f07vrYC1kP5uZfKSh3Jg0"
"1","2024/02/21","ポイント","58","Amazon.co.jp","収入","一時所得","","0","F463pjSCybvyHU4y9670qcqq8dTae9k0wQOihZUwj-Y"
"1","2024/02/21","魔入りました!入間くん 34 (少年チャンピオン・コミックス)[Kindle 版] 西修 販売: Amazon Services International LLC","-475","Amazon.co.jp","教養・教育","書籍","","0","vH4Wr_1RoLlgJgD73pUEOFr-DN5QueHugcQXnzCfSbI"
"1","2024/02/21","魔入りました!入間くん 35 (少年チャンピオン・コミックス)[Kindle 版] 西修 販売: Amazon Services International LLC","-528","Amazon.co.jp","教養・教育","書籍","","0","ooSn0XYga-RaRGclmLxukkRO_GL64s-uPCkoZWkUoWo"
"1","2024/02/21","魔入りました!入間くん 36 (少年チャンピオン・コミックス)[Kindle 版] 西修 販売: Amazon Services International LLC","-528","Amazon.co.jp","教養・教育","書籍","","0","2_e3eOXzd2D6yOWSUNz_bu1gMwMxB1xTm1oLzdl9lIA"
"0","2024/02/21","Ａｍａｚｏｎ　Ｍａｒｋｅｔ　Ｐｌａｃｅ","-2193","JCBカード","日用品","日用品","","1","XnFicVpHMFH5Tx8NIpAkNirxvWhuCL-Ok3itIsqdVt8"
