"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/06/22","物販","-333","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","qjY_-j_NHPEvpqk2ecerBQ"
"1","2023/06/22","","-4000","なし","交際費","飲み会","","0","jrkeVGgfIBUa2RQPSxx7qw"
"1","2023/06/22","イオン東北","-3154","JCBカード","日用品","日用品","","0","NhBJiOntMekkvfGPG3RSIA"
"1","2023/06/22","イオン東北","-1630","JCBカード","日用品","日用品","","0","3OT3_RV3oTGA_ERCwt220Q"
"1","2023/06/22","仙台卸町 支払","-220","WAON","食費","食料品","","0","avgGDmOoJZuO8-KomU0jhQ"
"1","2023/06/22","仙台卸町 支払","-2040","WAON","食費","食料品","","0","h9u63xSJ9Elc1vrTWUa6cw"
"1","2023/06/22","仙台卸町 支払","-105","WAON","食費","食料品","","0","E5ANo_uB0YCbs45HOnBOMQ"
"1","2023/06/22","セブン-イレブンさいたま土手町店","-311","JCBカード","食費","食料品","","0","y6U6UwcliX66JYGJLBe6fQ"
"1","2023/06/22","神田屋 大宮東口店","-63657","JCBカード","交際費","飲み会","","0","dKG0NcEYclDrNOIC9VI90A"
"1","2023/06/22","アカマル屋鮮魚店大宮すずらん通り","-15147","JCBカード","交際費","飲み会","懇親会の立替払い","0","WuPtcGcXWDUhlJFMjSb62w"
"1","2023/06/22","","-3000","なし","交際費","飲み会","","0","F0bOTJenfjwq3uvgnIrmjA"
"1","2023/06/22","セブン-イレブン 支払","-10","【け】nanaco","食費","食料品","","0","H2uwx2KKgi8pyhQ7NWvEyw"
"1","2023/06/21","物販","-333","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","nEqoWweGjb9eYjm4dOMZOg"
"1","2023/06/21","ウジエスーパー小田原店","-1627","JCBカード","食費","食料品","","0","45AXixVTRIEnifxGBcmVOg"
"1","2023/06/21","セブン-イレブン鉄道博物館前店","-172","JCBカード","食費","食料品","","0","IqGzEiJpU92eWFo1c1wrjQ"
"1","2023/06/20","フアミリ-マ-トセンダイイチヨウマチ","-172","JCBカード","食費","食料品","","0","gzKUOt-hJPQO8DCfPrfaNg"
"1","2023/06/20","povoご利用料金","-990","JCBカード","通信費","携帯電話","","0","BLQJ8RcwanU_yEGXRpah_w"
"1","2023/06/20","","-2000","なし","交際費","飲み会","","0","wTPRh10NHfuLIOCagtkXEA"
"1","2023/06/20","セブン-イレブン 支払","-265","【ま】nanaco","食費","食料品","","0","eMTm82fKQ20wubRGsLYaWQ"
"1","2023/06/19","イオンリテール","-790","JCBカード","日用品","日用品","","0","zMzqPFX-6_ngfLYSM7fUuw"
"1","2023/06/19","セブン-イレブン鉄道博物館前店","-429","JCBカード","食費","食料品","","0","aYkfnTDpPCSRMCkZfVh6EA"
"1","2023/06/19","APPLE.COM/BILL","-960","JCBカード","通信費","その他通信費","","0","k_RkO0m3JE1Lnkmy0-YXLQ"
"1","2023/06/19","","-500","なし","食費","外食","","0","gd9SuW2sOW10KrGhY-zPHw"
"1","2023/06/19","ウジエスーパー小田原店","-716","JCBカード","食費","食料品","","0","_6lG9_OM1iG9ojRwlAgxtw"
"1","2023/06/18","物販","-110","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","ndDgx73hcs9zv_3R-Kur7Q"
"1","2023/06/18","利息","1","【ま】住信SBIネット銀行","収入","その他入金","","0","r9ZvBfqIsKi1yWM-kvESAA"
"1","2023/06/18","ウジエスーパー小田原店","-2646","JCBカード","食費","食料品","","0","3IkHD1SA21OmyZS1XKK2hw"
"1","2023/06/18","マクドナルドモバイルオ-ダ-","-2250","JCBカード","食費","外食","","0","R9SRzNxiz85muYcyjiQqBA"
"1","2023/06/18","JR東日本 えきねっと","-10700","JCBカード","交通費","電車","","0","j6p4hMu-gkiQFrIfaEKOoQ"
"1","2023/06/18","利息","2","【け】住信SBIネット銀行","収入","その他入金","","0","GhYmpURbSa1BF4skm8SrNg"
"1","2023/06/18","トイサンタ楽天市場店 クーポン利用(【楽天市場アプリ限定ビンゴ!2023年6月】40円OFFクーポン_ビンゴ6回目)","40","楽天市場(my Rakuten)","未分類","未分類","","0","641Rj3SmMJeYZWb6iQTTjg"
"1","2023/06/18","トイサンタ楽天市場店 ポイント利用","3346","楽天市場(my Rakuten)","未分類","未分類","","0","aWucX6HPLnZ1Vic8afI1CQ"
"1","2023/06/18","トイサンタ楽天市場店 送料(税込)","-680","楽天市場(my Rakuten)","趣味・娯楽","その他趣味・娯楽","","0","hKBIEax7iuTipRMjr_Odsg"
"1","2023/06/18","トイサンタ楽天市場店 【全部揃ってます!!】ミニプラ シュゴッド合体シリーズ02 レジェンドシュゴッドセット [全6種セット(フルコンプ)]【 ネコポス不可 】","-2706","楽天市場(my Rakuten)","趣味・娯楽","その他趣味・娯楽","","0","3-1x3DVI5Qr94nciTKqOOQ"
"1","2023/06/17","ウジエスーパー小田原店","-4952","JCBカード","食費","食料品","","0","YqjMnc0rcbajm0fus_8I9w"
"1","2023/06/16","","-890","なし","食費","外食","","0","PEj4nWPS2uPw_4s6PbE3jA"
"1","2023/06/15","物販","-534","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","-C41HvGjknYM3zzkJb6qCQ"
"1","2023/06/15","NHK受信料 5年 6月~ 6年 5月","-24185","JCBカード","通信費","放送視聴料","","0","gMlJqbV4x_X-DAU9LK0Nbw"
"1","2023/06/15","振込*カ)フアンコミユニケーシヨンズ","10505","【け】住信SBIネット銀行","収入","一時所得","","0","XwHFRwLbQ838J0y2vXgZsg"
"1","2023/06/15","セブン-イレブン鉄道博物館前店","-291","JCBカード","食費","食料品","","0","VA-xChtMDaG8XmY5PS4cVQ"
"1","2023/06/15","ジドウテアテ","100000","※解約済【け】77","収入","一時所得","","0","gqOS9H5CaJYTZD80a4cZHw"
"1","2023/06/14","物販","-249","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","jXloRYV7EWWxus2j-O2gSA"
"1","2023/06/14","ATM セブン銀行","23000","【け】住信SBIネット銀行","収入","一時所得","","0","kZlqIiKbcMc4IQ9m2eXMIg"
"1","2023/06/14","仙台卸町 支払","-1089","WAON","食費","食料品","","0","RhUz8H5XtLMv52Ojk1UoOQ"
"1","2023/06/14","仙台卸町 支払","-813","WAON","食費","食料品","","0","xCRTThdk4OBQ9isp5wcf6w"
"1","2023/06/14","ユニクロ・GU・PLSTオンライン","-6470","JCBカード","衣服・美容","衣服","","0","mAi3hsPGfTlUyUAYoVDYtw"
"1","2023/06/14","セブン-イレブン鉄道博物館前店","-569","JCBカード","食費","食料品","","0","GEE1yKLldrVDKX28jV2HDA"
"1","2023/06/13","物販","-414","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","wV2aYvxlN6CYG54gD9iuGQ"
"0","2023/06/13","SBI証券投信積立サービス","-33333","【け】三井住友カードNL","未分類","未分類","","1","c3GS4S6W9m4CDnDGRY0okA"
"1","2023/06/13","ウジエスーパー小田原店","-938","JCBカード","食費","食料品","","0","A_6WiDIS9gsr2HZyay01Eg"
"1","2023/06/13","セブン-イレブン鉄道博物館前店","-460","JCBカード","食費","食料品","","0","33KoAYjLWi0JwTXf3lDgCQ"
"1","2023/06/12","物販","-117","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","WOSlDAA9QgiRZjf7mbSUhA"
"1","2023/06/12","ウジエスーパー小田原店","-960","JCBカード","食費","食料品","","0","FCebZ64Ml1yPphAWjFILLA"
"1","2023/06/12","スターバックス コーヒー ジャパン","-2000","JCBカード","食費","外食","","0","nrkdkn17MjoNs17S9ZwWUg"
"1","2023/06/12","セブン-イレブン 支払","-10","【け】nanaco","食費","食料品","","0","FinTr0tcJJia9TABfu2eHQ"
"0","2023/06/12","JCB","-252431","※解約済【け】77","現金・カード","カード引き落とし","","1","jcJ7s488MKDtbyFlidzKhA"
"1","2023/06/12","トウコウヨウチエン","-7800","※解約済【け】77","教養・教育","その他教養・教育","","0","Q8h6Jp7VBX8pSrmus3Omcg"
"1","2023/06/11","物販","-117","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","wd7-ThHVHfMnhIdLlkVo-w"
"1","2023/06/11","楽天キャッシュ チャージ","-50000","解約済_【け】楽天カード","現金・カード","電子マネー","","0","3KmiHC1gxtqEPsgULcvX3Q"
