"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/03/23","CIO ケーブル内蔵 モバイルバッテリー SMARTCOBY Pro CABLE 専用 C to L 着脱ケーブル Lightning対応 (パープル) 販売: 株式会社CIO","-2200","Amazon.co.jp","日用品","日用品","","0","lvN9R1vG9_9XE3S7qL7zxA"
"1","2023/03/23","物販","-385","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","WUlaAOMexC6iBPmypUSZQg"
"1","2023/03/23","物販","-150","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","-OXSIedyChtyie_pnVvsHg"
"1","2023/03/23","物販","-540","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","q39J0GkwnnX799Rdwl4q3Q"
"1","2023/03/23","ウジエスーパー小田原店","-2813","JCBカード","食費","食料品","","0","JjpU7-QbxB7rJUsNt6U7Ow"
"0","2023/03/23","Amazon Market Place","-2200","JCBカード","日用品","日用品","","1","1J1-7DRxZW45gZ69Hjc8Ag"
"1","2023/03/23","","-1600","なし","交際費","飲み会","","0","QZroEAI2Ne4O7BsrQJbY1w"
"1","2023/03/23","","-3000","なし","交際費","飲み会","","0","stgMr9FAvXvholYaRU7uhw"
"1","2023/03/23","","-1000","なし","食費","外食","","0","x7zZDWAMvD8ToRXd1vsM0w"
"1","2023/03/23","","-800","なし","交際費","飲み会","","0","maHWKXiQZe4-eOgpL9xAoQ"
"1","2023/03/22","HARIO(ハリオ) V60ペーパーフィルター02 W ホワイト 1~4杯用 100枚入り 日本製 VCF-02-100W 販売: アマゾンジャパン合同会社","-311","Amazon.co.jp","日用品","日用品","","0","7H18shs5IZAcAPTUb5Muuw"
"1","2023/03/22","マクドナルド仙台六丁の目店","-1040","JCBカード","食費","外食","","0","-CZgEC4C5fihoNwqvb8mnQ"
"0","2023/03/22","AMAZON.CO.JP","-311","JCBカード","教養・教育","書籍","","1","JxhriHY2A7vjOT8JcpNcyg"
"1","2023/03/22","povoご利用料金","-330","JCBカード","通信費","携帯電話","","0","FKOftiugAnVu0_NQdrQULw"
"1","2023/03/22","povoご利用料金","-19500","JCBカード","通信費","携帯電話","","0","HWQoGMlFJ4X5NDr1LZhXmg"
"1","2023/03/21","HARIO(ハリオ) V60ペーパーフィルター02 W ホワイト 1~4杯用 100枚入り 日本製 VCF-02-100W 販売: アマゾンジャパン合同会社","-311","Amazon.co.jp","日用品","日用品","","0","p8BgstK7fFjVWs3s80uBBA"
"1","2023/03/21","ウジエスーパー小田原店","-3750","JCBカード","食費","食料品","","0","lT8mcGjkrnDuNU5dKm_7SQ"
"0","2023/03/21","AMAZON.CO.JP","-311","JCBカード","教養・教育","書籍","","1","MhPmhCpGLd9E8_2GalLfuA"
"1","2023/03/20","物販","-2500","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","wdVRejpR839hlICE0DeBmg"
"1","2023/03/20","バス等 神奈中","-220","【け】モバイルSuica (My JR-EAST ID)","交通費","バス","","0","k-G_AMKcVb6ht8CmRLQ27g"
"1","2023/03/20","物販","-1245","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","gNO8sg2w4jcYcEaqwaC0Ew"
"1","2023/03/20","物販","-110","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","W829k8z3FbTK6aUsSjbopQ"
"1","2023/03/20","BLUNOVE","-34800","JCBカード","教養・教育","その他教養・教育","","0","yc8elybwNyieRPck8SNBqg"
"1","2023/03/20","東京駅グランスタ","-1836","JCBカード","食費","食料品","","0","w0q8WJWWXhwFh1Zt7V2vfg"
"1","2023/03/20","仙台駅構内店舗","-3602","JCBカード","食費","外食","","0","ZQ788dOzzDqoZcLlGN-3jg"
"1","2023/03/20","スターバックス コーヒー ジャパン","-3000","JCBカード","食費","外食","","0","QMZzhy9ECRYuy728xh4EVg"
"1","2023/03/20","povoご利用料金","-330","JCBカード","通信費","携帯電話","","0","GhOiwy2AN-Iegy8ofgIYqg"
"1","2023/03/20","カップヌードルミュージアムショップ","-4130","JCBカード","趣味・娯楽","旅行","","0","GROut40Y3P4jw0js6NgfZA"
"1","2023/03/20","相鉄フレッサイン 鎌倉大船駅笠間口","-1386","JCBカード","趣味・娯楽","旅行","","0","r8mTJDKM1hNBQ-1Y8ezQuA"
"1","2023/03/20","カップヌードルミュージアム","-2250","なし","食費","外食","","0","gQw1htv0xLAVa_2LFGGm9Q"
"1","2023/03/20","カップヌードルミュージアム入場料","-1000","なし","趣味・娯楽","旅行","","0","E0eGjLQ4Fr1jSh3V11AUAA"
"1","2023/03/19","物販","-150","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","bUWgZtb_roxvaZGnHabZNQ"
"1","2023/03/19","物販","-683","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","GsUdqe6F45CkVXy9p8hiTg"
"1","2023/03/19","APPLE.COM/BILL","-960","JCBカード","通信費","その他通信費","","0","cjj2-jhunMPtAR3176dndA"
"1","2023/03/19","利息","2","【け】住信SBIネット銀行","収入","その他入金","","0","L2WWXEuUkpR5R7AUL0mnfw"
"1","2023/03/19","ライフグランシップ大船駅前店","-243","JCBカード","日用品","日用品","","0","Kc_j5blLk4bGLkIJTTD-CQ"
"1","2023/03/19","鎌倉豊島屋 鎌倉駅前 扉店","-1720","JCBカード","食費","外食","","0","WZ5PEheVtNeZKxjNBcddxw"
"1","2023/03/19","利息","2","【ま】住信SBIネット銀行","収入","その他入金","","0","3q_wENxMh8CrwQBo5zWKtw"
"1","2023/03/19","ミサキドーナツ 鎌倉店","-1889","JCBカード","食費","外食","","0","vuz0J9xvOSlpv4Bm23O0Xw"
"1","2023/03/19","ガチャガチャ","-500","なし","趣味・娯楽","その他趣味・娯楽","","0","5K0wOVoz6Ys-9IsNA4RGcg"
"1","2023/03/18","物販","-2755","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","gwnkQ-c99711VwBNE0sVnA"
"0","2023/03/18","カード モバイル","10000","【け】モバイルSuica (My JR-EAST ID)","未分類","未分類","","1","PfYOzZQQJ8NByJgusefNdg"
"1","2023/03/18","物販","-257","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","KaJJmlwLtECSOpDZB9vhmw"
"1","2023/03/18","物販","-239","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","YePYmN9O5P0bnf9_NWbFvw"
"1","2023/03/18","Suica〔携帯決済〕","-3000","JCBカード","現金・カード","電子マネー","","0","2NUvSWxSbeeAx8ofVzRYXQ"
"1","2023/03/18","Suica〔携帯決済〕","-10000","JCBカード","現金・カード","電子マネー","","0","KF39yTraSDbMxQYtGZlOqg"
