"計算対象","日付","内容","金額（円）","保有金融機関","大項目","中項目","メモ","振替","ID"
"1","2023/02/23","ウジエスーパー小田原店","-1168","JCBカード","食費","食料品","","0","HzRaueGx03H1fqUwvcKCPQ"
"1","2023/02/22","タカギ","-3960","JCBカード","住宅","住宅","","0","Tf2v-YaP8_mOtvW0E4ycLw"
"1","2023/02/22","東北電力 05年02月分","-25565","JCBカード","水道・光熱費","電気代","","0","LsSsCqKeruuRxamp8fdf7Q"
"1","2023/02/22","物販","-249","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","NZFsaskrWRlK9jMK2netuA"
"1","2023/02/22","物販","-1260","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","TAMBoq_gYOPMzuR0_M-QCQ"
"1","2023/02/22","ダイシン 幸町店","-2615","JCBカード","食費","外食","","0","VJIaPJ2qJc3Gl2Rx4YOG1w"
"1","2023/02/22","ダイソー","-328","JCBカード","日用品","日用品","","0","Q9lUH_Mii1BkdW_AYCTgCA"
"1","2023/02/22","狼煙","-950","なし","食費","外食","","0","8-k5YimKpyTOPuPDSFAoBw"
"0","2023/02/22","ナガヤマ ケンタロウ","100000","※解約済【け】楽天銀行","未分類","未分類","","1","s9ybifAi7pHqwfqu1odXSA"
"1","2023/02/21","物販","-385","【け】モバイルSuica (My JR-EAST ID)","食費","外食","","0","eiB2Ojvdm2-C8sjWYOKVQw"
"0","2023/02/21","普通 代表口座","-100000","【け】住信SBIネット銀行","未分類","未分類","","1","RJNCn0BvDXy3HLzF5fUrNQ"
"0","2023/02/21","振込*ナガヤマ ケンタロウ","-100000","【け】住信SBIネット銀行","未分類","未分類","","1","NZRdtF91MgTlWL4xt_ovbg"
"0","2023/02/21","SBIハイブリッド預金","100000","【け】住信SBIネット銀行","未分類","未分類","","1","UIVf9lJzJwwHby3c4AntZw"
"1","2023/02/21","povoご利用料金","-990","JCBカード","通信費","携帯電話","","0","aHnbkO6wrH3L0xjqYXgCjw"
"1","2023/02/21","仙台幸町 支払","-110","WAON","食費","食料品","","0","rjyl1qjYFB_m_96PBcgpJA"
"1","2023/02/21","ギヨウセイシヨシホウジン オンオ-ルサイズ excel化委託料","2500","※解約済【け】楽天銀行","収入","事業・副業","","0","YCbEURwh2cFBJ26esx1HNw"
"1","2023/02/21","セブン-イレブン 支払","-138","【け】nanaco","食費","食料品","","0","Oi4gg5aadRwdNcm2teHaHg"
"1","2023/02/20","普通預金利息","3","※解約済【ま】三井住友銀行","収入","その他入金","","0","IpgNDr1ivFz8zLPvI9pfYQ"
"1","2023/02/20","利息","8","【け】みずほ銀行","収入","その他入金","","0","x0FLNsQ6UbDMSVRPcjNNiA"
"1","2023/02/20","povoご利用料金","-330","JCBカード","通信費","携帯電話","","0","LEWGsyrsS3miy5mpk1pIqA"
"1","2023/02/20","ヤフ-ネット募金","-10000","JCBカード","その他","寄付金","トルコ地震への募金","0","D706gwNFJIRL2RAQrVOETA"
"1","2023/02/20","JR東日本 えきねっと","-10980","JCBカード","交通費","電車","","0","Q5LRk20Oq1WcxkASgtly2A"
"1","2023/02/20","パンチョ","-820","なし","食費","外食","","0","nBdOkhUN4Ya_4px4Pzzrng"
